STA_LOC,RENT_ID,RENT_NO,RENT_NM,RENT_ID_NM,HOLD_NUM,STA_ADD1,STA_ADD2,STA_LAT,STA_LONG,START_INDEX,END_INDEX,RNUM
동대문구,ST-1303,00651,우리은행청량리지점앞,651. 우리은행청량리지점앞,10,서울특별시 동대문구 왕산로 239,우리은행청량리지점앞,37.58274841,127.04827881,0,0,292
서초구,ST-1305,02279,교대역 5번출구뒤,2279. 교대역 5번출구뒤,8,서울특별시 서초구 서초중앙로 130,교대역 5번출구 뒤,37.49361801,127.01418304,0,0,293
서초구,ST-1306,02280,서울서초고용센터앞,2280. 서울서초고용센터앞,10,서울특별시 서초구 반포대로 43,서울서초고용센터 앞,37.48416138,127.01097107,0,0,294
서초구,ST-1307,02281,연세사랑병원신관앞,2281. 연세사랑병원신관앞,7,서울특별시 서초구 효령로 10,연세사랑병원신관 앞,37.47597885,126.98628235,0,0,295
서초구,ST-1308,02282,방배래미안아트힐 101동앞,2282. 방배래미안아트힐 101동앞,10,서울특별시 서초구 남부순환로 2311-12,방배래미안아트힐 101동앞,37.47720337,127.00583649,0,0,296
서초구,ST-1309,02283,그룹한빌딩옆,2283. 그룹한빌딩옆,10,서울특별시 서초구 서초대로 62,그룹한빌딩 옆,37.48652649,126.98916626,0,0,297
종로구,ST-131,00315,신한은행 안국역지점 옆,315. 신한은행 안국역지점 옆,4,서울특별시 종로구 율곡로 33,신한은행 안국역지점 옆,37.57596970,126.98306274,0,0,298
서초구,ST-1310,02284,CJ오쇼핑앞,2284. CJ오쇼핑앞,15,서울특별시 서초구 과천대로 870-13,CJ오쇼핑 앞,37.46810150,126.98680115,0,0,299
서초구,ST-1311,02285,LH서초3단지 301동 맞은편,2285. LH서초3단지 301동 맞은편,10,서울특별시 서초구 양재대로2길 33,LH서초3단지 301동 맞은편,37.45742416,127.02265167,0,0,300
서초구,ST-1312,02286,탑성마을입구,2286. 탑성마을입구,7,서울특별시 서초구 탑성말길 2,탑성마을입구,37.45854950,127.05588531,0,0,301
서초구,ST-1313,02287,능안마을입구,2287. 능안마을입구,5,서울특별시 서초구 능안말길 1-2,능안마을입구,37.45561981,127.06710052,0,0,302
서초구,ST-1314,02288,안골마을입구,2288. 안골마을입구,5,서울특별시 서초구 안골2길 3,안골마을입구,37.45560837,127.06445312,0,0,303
서초구,ST-1315,02289,남태령역 2번출구,2289. 남태령역 2번출구,10,서울특별시 서초구 과천대로 810,남태령역 2번출구,37.46429825,126.98852539,0,0,304
서초구,ST-1316,02290,서래마을파리15구공원앞,2290. 서래마을파리15구공원앞,10,서울특별시 서초구 동광로39길 93,서래마을파리15구공원 앞,37.49941254,126.99941254,0,0,305
성북구,ST-1317,01354,고려대학교 2번출구,1354. 고려대학교 2번출구,22,서울특별시 성북구 종암로 지하 1,고려대학교 2번출구,37.59071350,127.03619385,0,0,306
영등포구,ST-1319,00274,영등포역지하쇼핑센타 5번출구,274. 영등포역지하쇼핑센타 5번출구,10,서울특별시 영등포구 경인로 843 영등포역지하도상가,,37.51626968,126.90686035,0,0,307
종로구,ST-132,00316,종각역 1번출구 앞,316. 종각역 1번출구 앞,8,서울특별시 종로구 종로 47,종각역 1번출구 앞,37.57039642,126.98178864,0,0,308
영등포구,ST-1320,00275,신동아아파트,275. 신동아아파트,10,서울특별시 영등포구 선유서로 76 신동아아파트,,37.52269745,126.88568115,0,0,309
영등포구,ST-1321,00276,영등포로터리2,276. 영등포로터리2,10,서울특별시 영등포구 경인로112길 1,SK영등포주유소,37.51828384,126.91263580,0,0,310
영등포구,ST-1322,00277,영등포뉴타운지하상가 2번게이트,277. 영등포뉴타운지하상가 2번게이트,10,서울특별시 영등포구 영중로 22,영등포뉴타운지하상가 2번게이트,37.52011871,126.90516663,0,0,311
영등포구,ST-1323,00278,쌍용플레티넘오피스텔,278. 쌍용플레티넘오피스텔,10,서울특별시 영등포구 도영로 18,쌍용플레티넘오피스텔,37.50793076,126.89523315,0,0,312
용산구,ST-1324,00827,국군복지단,827. 국군복지단,14,서울특별시 용산구 두텁바위로 54-99,국군복지단,37.54188538,126.97966003,0,0,313
용산구,ST-1325,00828,숙대입구역 8번,828. 숙대입구역 8번,7,서울특별시 용산구 한강대로 289,숙대입구역 8번,37.54407883,126.97200012,0,0,314
용산구,ST-1326,00829,한강대교 북단 교차로,829. 한강대교 북단 교차로,40,서울특별시 용산구 한강대로 23,베르가모앞,37.52293015,126.96169281,0,0,315
용산구,ST-1327,00830,강변삼성스위트아파트 앞,830. 강변삼성스위트아파트 앞,10,서울특별시 용산구 원효로 35,청암자이아파트앞,37.53442383,126.94857025,0,0,316
용산구,ST-1328,00831,이태원관광특구입구A(녹사평역쪽),831. 이태원관광특구입구A(녹사평역쪽),10,서울특별시 용산구 이태원로 134,이태원관광특구입구,37.53427887,126.98856354,0,0,317
은평구,ST-1329,00954,은평뉴타운구파발9단지,954. 은평뉴타운구파발9단지,10,서울특별시 은평구 진관3로 77,은평뉴타운구파발9단지,37.64260864,126.92147827,0,0,318
은평구,ST-1331,00956,응암시장교차로,956. 응암시장교차로,9,서울특별시 은평구 응암로 247 외환은행,,37.59441376,126.91801453,0,0,319
중랑구,ST-1332,01449,상봉역 1번출구,1449. 상봉역 1번출구,15,서울특별시 중랑구 망우로 297,상봉역 1번출구,37.59655762,127.08583832,0,0,320
중랑구,ST-1333,01450,화랑대역 7번출구,1450. 화랑대역 7번출구,10,서울특별시 중랑구 묵동 6-3,,37.61963654,127.08504486,0,0,321
중랑구,ST-1334,01451,중랑세무서,1451. 중랑세무서,10,서울특별시 중랑구 망우로 176,중랑세무서,37.59275818,127.07266998,0,0,322
중랑구,ST-1335,01452,겸재교 진입부,1452. 겸재교 진입부,25,서울특별시 중랑구 겸재로 68,겸재교진입부,37.58565521,127.07505035,0,0,323
성동구,ST-1336,03519,용답역 1번 출구,3519. 용답역 1번 출구,10,서울특별시 성동구 용답길 86,용답역 1번 출구,37.56260681,127.05130768,0,0,324
관악구,ST-1337,02171,서울대입구역 5번출구,2171. 서울대입구역 5번출구,17,서울특별시 관악구 남부순환로 1817,서울대입구역 5번출구,37.48154831,126.95200348,0,0,325
강서구,ST-1338,01165,마곡중학교 후문,1165. 마곡중학교 후문,20,서울특별시 강서구 마곡중앙5로 58,마곡중학교 후문,37.56844711,126.82164764,0,0,326
용산구,ST-1339,00832,이촌1동 주민센터 뒤,832. 이촌1동 주민센터 뒤,20,서울특별시 용산구 이촌로71길 24,이촌1동 주민센터 뒤,37.52128220,126.97346497,0,0,327
중구,ST-134,00318,광교사거리 남측,318. 광교사거리 남측,10,서울특별시 중구 남대문로 125 DGB금융센터,,37.56863403,126.98231506,0,0,328
용산구,ST-1341,00834,효창공원앞역 3번출구 앞,834. 효창공원앞역 3번출구 앞,9,서울특별시 용산구 용문동 5-58,,37.53900146,126.96181488,0,0,329
용산구,ST-1342,00835,남영역 건너편,835. 남영역 건너편,9,서울특별시 용산구 한강대로77길 18,남영역 건너편,37.54198074,126.97154236,0,0,330
용산구,ST-1343,00836,현대자동차서비스 앞,836. 현대자동차서비스 앞,15,서울특별시 용산구 원효로 74,현대자동차서비스 앞,37.53142166,126.95149994,0,0,331
용산구,ST-1344,00837,한남나들목 입구,837. 한남나들목 입구,10,서울특별시 용산구 한남동 557-106,,37.52898788,127.00662231,0,0,332
중랑구,ST-1345,01453,중랑캠핑숲,1453. 중랑캠핑숲,9,서울특별시 중랑구 송림길 172,중랑캠핑숲,37.60460281,127.10925293,0,0,333
중랑구,ST-1346,01454,한국전력공사(동대문 중랑지사),1454. 한국전력공사(동대문 중랑지사),10,서울특별시 중랑구 동일로 862,한국전력공사(동대문 중랑지사),37.60734940,127.07859039,0,0,334
성북구,ST-1347,01355,보문2교,1355. 보문2교,25,서울특별시 성북구 보문로30길 29,보문2교,37.58869934,127.01891327,0,0,335
노원구,ST-1348,01675,월계문화체육센터,1675. 월계문화체육센터,9,서울특별시 노원구 월계로 280,월계문화체육센터,37.62694168,127.05513000,0,0,336
노원구,ST-1349,01677,육군사관학교  앞,1677. 육군사관학교  앞,15,서울특별시 노원구 화랑로 570,육군사관학교 앞,37.62316513,127.09049988,0,0,337
양천구,ST-1350,00749,이대목동병원보도육교,749. 이대목동병원보도육교,10,서울특별시 양천구 안양천로 1071,이대 목동병원 앞,37.53722763,126.88661194,0,0,338
